Well,Conc. [pg/µl],Sample Description,Alert,Observations
A1,89.8,,!,Caution! Expired ScreenTape
B1,114,,!,Caution! Expired ScreenTape
C1,74.0,,!,Caution! Expired ScreenTape
D1,,,!,Caution! Expired ScreenTape
E1,24.1,,!,Caution! Expired ScreenTape
F1,70.9,,!,Caution! Expired ScreenTape
G1,1130,,!,Caution! Expired ScreenTape
H1,402,,!,Caution! Expired ScreenTape
A2,73.1,,!,Caution! Expired ScreenTape
B2,7230,,!,Caution! Expired ScreenTape
C2,858,,!,Caution! Expired ScreenTape
D2,546,,!,Caution! Expired ScreenTape
E2,3540,,!,Caution! Expired ScreenTape
F2,389,,!,Caution! Expired ScreenTape
G2,2580,,!,Caution! Expired ScreenTape
H2,805,,!,Caution! Expired ScreenTape
A3,169,,!,Caution! Expired ScreenTape
B3,8.79,,!,Caution! Expired ScreenTape
C3,322,,!,Caution! Expired ScreenTape
D3,34.1,,!,Caution! Expired ScreenTape
E3,168,,!,Caution! Expired ScreenTape
F3,375,,!,Caution! Expired ScreenTape
G3,377,,!,Caution! Expired ScreenTape
H3,994,,!,Caution! Expired ScreenTape
A4,,,!,Caution! Expired ScreenTape
B4,226,,!,Caution! Expired ScreenTape
C4,16.0,,!,Caution! Expired ScreenTape
D4,,,!,Caution! Expired ScreenTape
E4,6.28,,!,Caution! Expired ScreenTape
F4,,,!,Caution! Expired ScreenTape
G4,125,,!,Caution! Expired ScreenTape
H4,38.8,,!,Caution! Expired ScreenTape
A5,92.6,,!,Caution! Expired ScreenTape
B5,68.7,,!,Caution! Expired ScreenTape
C5,44.1,,!,Caution! Expired ScreenTape
D5,1.71,,!,Caution! Expired ScreenTape
E5,19.5,,!,Caution! Expired ScreenTape
F5,,,!,Caution! Expired ScreenTape
G5,89.0,,!,Caution! Expired ScreenTape
H5,164,,!,Caution! Expired ScreenTape
A6,3.46,,!,Caution! Expired ScreenTape
B6,1730,,!,Caution! Expired ScreenTape
C6,285,,!,Caution! Expired ScreenTape
D6,,,!,Caution! Expired ScreenTape
E6,1570,,!,Caution! Expired ScreenTape
F6,30.1,,!,Caution! Expired ScreenTape
G6,3620,,!,Caution! Expired ScreenTape
H6,721,,!,Caution! Expired ScreenTape
A7,1410,,!,Caution! Expired ScreenTape
B7,318,,!,Caution! Expired ScreenTape
C7,467,,!,Caution! Expired ScreenTape
D7,255,,!,Caution! Expired ScreenTape
E7,137,,!,Caution! Expired ScreenTape
F7,1540,,!,Caution! Expired ScreenTape
G7,,,!,Caution! Expired ScreenTape
H7,3060,,!,Caution! Expired ScreenTape
A8,208,,!,Caution! Expired ScreenTape
B8,963,,!,Caution! Expired ScreenTape
C8,425,,!,Caution! Expired ScreenTape
D8,18.8,,!,Caution! Expired ScreenTape
E8,409,,!,Caution! Expired ScreenTape
F8,242,,!,Caution! Expired ScreenTape
G8,,,!,Caution! Expired ScreenTape
H8,,,!,Caution! Expired ScreenTape
A9,227,,!,Caution! Expired ScreenTape
B9,649,,!,Caution! Expired ScreenTape
C9,551,,!,Caution! Expired ScreenTape
D9,97.5,,!,Caution! Expired ScreenTape
E9,476,,!,Caution! Expired ScreenTape
F9,298,,!,Caution! Expired ScreenTape
G9,,,!,Caution! Expired ScreenTape
H9,,,!,Caution! Expired ScreenTape
A10,30.3,,!,Caution! Expired ScreenTape
B10,5260,,!,Caution! Expired ScreenTape
C10,78.3,,!,Caution! Expired ScreenTape
D10,102,,!,Caution! Expired ScreenTape
E10,942,,!,Caution! Expired ScreenTape
F10,602,,!,Caution! Expired ScreenTape
G10,,,!,Caution! Expired ScreenTape
H10,,,!,Caution! Expired ScreenTape
A11,117,,!,Caution! Expired ScreenTape
B11,286,,!,Caution! Expired ScreenTape
C11,274,,!,Caution! Expired ScreenTape
D11,10.4,,!,Caution! Expired ScreenTape
E11,350,,!,Caution! Expired ScreenTape
F11,555,,!,Caution! Expired ScreenTape
G11,,,!,Caution! Expired ScreenTape
H11,,,!,Marker(s) not detected; Markers outwith standard running position; Caution! Expired ScreenTape
A12,1300,,!,Caution! Expired ScreenTape
B12,1990,,!,Caution! Expired ScreenTape
C12,1130,,!,Caution! Expired ScreenTape
D12,169,,!,Caution! Expired ScreenTape
E12,630,,!,Caution! Expired ScreenTape
F12,685,,!,Caution! Expired ScreenTape
G12,,,!,Caution! Expired ScreenTape
H12,1650,,!,Ladder; Caution! Expired ScreenTape
