Well,Conc. [pg/µl],Sample Description,Alert,Observations
A1,21400,,!,Ladder; Marker(s) not detected; Ladder contains too few peaks; Caution! Expired ScreenTape
B1,6960,,!,Caution! Expired ScreenTape
C1,105,,!,Caution! Expired ScreenTape
D1,7110,,!,Caution! Expired ScreenTape
E1,7820,,!,Caution! Expired ScreenTape
F1,9570,,!,Caution! Expired ScreenTape
G1,8460,,!,Caution! Expired ScreenTape
H1,,,!,Marker(s) not detected; Caution! Expired ScreenTape
A2,14600,,!,Caution! Expired ScreenTape
B2,8560,,!,Caution! Expired ScreenTape
C2,7010,,!,Caution! Expired ScreenTape
D2,11600,,!,Caution! Expired ScreenTape
E2,346,,!,Marker(s) not detected; Caution! Expired ScreenTape
F2,11000,,!,Caution! Expired ScreenTape
G2,3900,,!,Caution! Expired ScreenTape
H2,10300,,!,Caution! Expired ScreenTape
A3,11200,,!,Caution! Expired ScreenTape
B3,7230,,!,Marker(s) not detected; Caution! Expired ScreenTape
C3,12000,,!,Caution! Expired ScreenTape
D3,10400,,!,Caution! Expired ScreenTape
E3,10800,,!,Caution! Expired ScreenTape
F3,5890,,!,Caution! Expired ScreenTape
G3,,,!,Marker(s) not detected; Caution! Expired ScreenTape
H3,11300,,!,Caution! Expired ScreenTape
A4,11300,,!,Caution! Expired ScreenTape
B4,8530,,!,Caution! Expired ScreenTape
C4,12600,,!,Caution! Expired ScreenTape
D4,5180,,!,Caution! Expired ScreenTape
E4,11000,,!,Caution! Expired ScreenTape
F4,6200,,!,Caution! Expired ScreenTape
G4,6360,,!,Caution! Expired ScreenTape
H4,16400,,!,Caution! Expired ScreenTape
A5,3270,,!,Caution! Expired ScreenTape
B5,6740,,!,Caution! Expired ScreenTape
C5,9770,,!,Caution! Expired ScreenTape
D5,3840,,!,Caution! Expired ScreenTape
E5,2190,,!,Caution! Expired ScreenTape
F5,10800,,!,Caution! Expired ScreenTape
G5,10200,,!,Caution! Expired ScreenTape
H5,11000,,!,Caution! Expired ScreenTape
A6,10300,,!,Caution! Expired ScreenTape
B6,7640,,!,Caution! Expired ScreenTape
C6,12600,,!,Caution! Expired ScreenTape
D6,6790,,!,Caution! Expired ScreenTape
E6,7910,,!,Caution! Expired ScreenTape
F6,8480,,!,Caution! Expired ScreenTape
G6,9480,,!,Caution! Expired ScreenTape
H6,,,!,Marker(s) not detected; Caution! Expired ScreenTape
A7,12600,,!,Caution! Expired ScreenTape
B7,7980,,!,Caution! Expired ScreenTape
C7,13500,,!,Caution! Expired ScreenTape
D7,10200,,!,Caution! Expired ScreenTape
E7,1970,,!,Caution! Expired ScreenTape
F7,7460,,!,Caution! Expired ScreenTape
G7,4720,,!,Caution! Expired ScreenTape
H7,7200,,!,Caution! Expired ScreenTape
A8,11500,,!,Caution! Expired ScreenTape
B8,14600,,!,Caution! Expired ScreenTape
C8,13300,,!,Caution! Expired ScreenTape
D8,3830,,!,Caution! Expired ScreenTape
E8,1470,,!,Caution! Expired ScreenTape
F8,10200,,!,Caution! Expired ScreenTape
G8,13400,,!,Caution! Expired ScreenTape
H8,8020,,!,Caution! Expired ScreenTape
A9,11000,,!,Caution! Expired ScreenTape
B9,10300,,!,Caution! Expired ScreenTape
C9,6170,,!,Caution! Expired ScreenTape
D9,7700,,!,Caution! Expired ScreenTape
E9,2610,,!,Caution! Expired ScreenTape
F9,,,!,Marker(s) not detected; Caution! Expired ScreenTape
G9,6820,,!,Caution! Expired ScreenTape
H9,9760,,!,Caution! Expired ScreenTape
A10,10800,,!,Caution! Expired ScreenTape
B10,11000,,!,Caution! Expired ScreenTape
C10,11000,,!,Caution! Expired ScreenTape
D10,9550,,!,Caution! Expired ScreenTape
E10,10800,,!,Caution! Expired ScreenTape
F10,11200,,!,Caution! Expired ScreenTape
G10,6.86,,!,Caution! Expired ScreenTape
H10,11000,,!,Caution! Expired ScreenTape
A11,11700,,!,Caution! Expired ScreenTape
B11,11300,,!,Caution! Expired ScreenTape
C11,11100,,!,Caution! Expired ScreenTape
D11,9100,,!,Caution! Expired ScreenTape
E11,1420,,!,Caution! Expired ScreenTape
F11,10000,,!,Caution! Expired ScreenTape
G11,4890,,!,Caution! Expired ScreenTape
H11,,,!,Marker(s) not detected; Caution! Expired ScreenTape
A12,4180,,!,Caution! Expired ScreenTape
B12,11700,,!,Caution! Expired ScreenTape
C12,13000,,!,Caution! Expired ScreenTape
D12,7410,,!,Caution! Expired ScreenTape
E12,6530,,!,Caution! Expired ScreenTape
F12,11700,,!,Caution! Expired ScreenTape
G12,5320,,!,Caution! Expired ScreenTape
H12,12300,,!,Caution! Expired ScreenTape
